"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1543",223750,"DCS World Steam Edition","2013/8/2",1,"Eagle Dynamics SA","The Fighter Collection","windows",0,"Single-player;Multi-player;Captions available;VR Support;Partial Controller Support;Includes level editor","Free to Play;Simulation","Simulation;Flight;Free to Play",0,5083,1534,2343,3454,"2000000-5000000",0
"1548",224260,"No More Room in Hell","2013/10/31",1,"No More Room in Hell Team","Lever Games","windows;mac;linux",0,"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Captions available;VR Support;Partial Controller Support;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK","Action;Free to Play;Indie","Free to Play;Zombies;Survival",107,48190,5747,2661,180,"5000000-10000000",0
"1549",224300,"Legacy of Kain: Defiance","2012/12/6",1,"Crystal Dynamics","Square Enix","windows",16,"Single-player","Action;Adventure","Action;Adventure;Story Rich",0,429,61,522,81,"200000-500000",4.99
"1551",224480,"Octodad: Dadliest Catch","2014/1/30",1,"Young Horses","Young Horses","windows;mac;linux",0,"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor","Action;Adventure;Indie","Comedy;Physics;Indie",32,6742,536,174,250,"500000-1000000",11.99
"1553",224600,"Defiance","2014/6/4",1,"Trion Worlds","Trion Worlds","windows",18,"Multi-player;MMO;Co-op;Steam Trading Cards;Partial Controller Support","Action;Free to Play;Massively Multiplayer;RPG","Free to Play;Action;Open World",0,9150,2808,953,324,"2000000-5000000",0
"1556",224760,"FEZ","2013/5/1",1,"Polytron Corporation","Trapdoor","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards","Indie","Platformer;Indie;Puzzle",12,10641,928,144,198,"1000000-2000000",6.99
"1557",224820,"Super House of Dead Ninjas","2013/2/18",1,"Megadev","Adult Swim Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Leaderboards;Includes level editor","Action;Indie","Action;Platformer;Rogue-like",46,1306,56,564,943,"100000-200000",4.99
"1559",224900,"Iron Sky: Invasion","2012/12/13",1,"Reality Pump","Topware Interactive","windows;mac;linux",0,"Single-player;Steam Achievements;Partial Controller Support","Action;Simulation;Strategy","Simulation;Action;Strategy",30,385,274,414,420,"200000-500000",14.99
"1560",224920,"Legacy of Kain: Soul Reaver","2012/12/6",1,"Crystal Dynamics","Square Enix","windows",16,"Single-player","Action;Adventure","Adventure;Action;Vampire",0,798,302,77,128,"200000-500000",4.99
"1561",224940,"Legacy of Kain: Soul Reaver 2","2012/12/6",1,"Crystal Dynamics","Square Enix","windows",16,"Single-player","Action;Adventure","Adventure;Action;Story Rich",0,288,107,50,93,"200000-500000",4.99
"1562",224960,"Tomb Raider I","2012/11/28",1,"Core Design","Square Enix","windows",12,"Single-player","Action;Adventure","Adventure;Action;Classic",0,1700,374,25,29,"500000-1000000",4.99
"1566",225080,"Brothers - A Tale of Two Sons","2013/9/3",1,"Starbreeze Studios AB","505 Games","windows",0,"Single-player;Full controller support","Action;Adventure;Indie","Adventure;Atmospheric;Story Rich",12,31689,1708,128,155,"1000000-2000000",10.99
"1567",225160,"Shadow Warrior Classic Redux","2013/7/8",1,"General Arcade","Devolver Digital","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Includes level editor","Action","FPS;Classic;Action",20,1789,151,124,152,"200000-500000",6.99
