appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
623090,BAJA: Edge of Control HD,2017/9/14,1,2XL Games;Blitworks,THQ Nordic,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Racing;Sports,Racing;Sports;Offroad,49,100,26,0,0,0-20000,24.99
623160,Zombie Solitaire 2 Chapter 1,2017/6/30,1,rokapublish,rokapublish,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual,Casual;Card Game;Indie,15,18,1,0,0,0-20000,6.19
623170,Zombie Solitaire 2 Chapter 2,2017/10/9,1,rokapublish,rokapublish,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Casual;Strategy;Indie,16,20,1,0,0,0-20000,6.19
623180,Zombie Solitaire 2 Chapter 3,2018/3/6,1,rokapublish,rokapublish,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual,Casual;Card Game;Mouse only,16,9,2,0,0,0-20000,6.19
623310,Arcfall,2017/5/16,1,Neojac Entertainment inc.,Neojac Entertainment Inc.,windows,0,MMO,Massively Multiplayer;RPG;Early Access,Early Access;Massively Multiplayer;RPG,0,122,96,16,16,0-20000,0
623320,Button Button,2017/7/20,1,Centrosphere Game,Centrosphere Game,windows,0,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie,Action;Adventure;Indie,12,20,2,0,0,0-20000,9.29
623360,Grim Tales: The Legacy Collector's Edition,2017/4/19,1,Elephant Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Casual;Adventure;Hidden Object,0,2,4,0,0,0-20000,7.19
623370,xDrive VR,2017/6/16,1,Themes_Daly,Themes_Daly,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements,Action;Indie;Massively Multiplayer;RPG;Simulation;Early Access,Early Access;Massively Multiplayer;Action,12,5,2,0,0,0-20000,9.99
623380,Cybermotion,2017/7/28,1,Lukayson,Lukayson,windows,0,Single-player;Partial Controller Support,Indie;Simulation;Early Access,Early Access;Simulation;Indie,12,24,4,0,0,0-20000,5.59
623460,Haunted Legends: The Bronze Horseman Collector's Edition,2017/4/21,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,1,0,0,0-20000,7.19
623470,League of Light: Wicked Harvest Collector's Edition,2017/4/24,1,Mariaglorum,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,2,0,0,0,0-20000,7.19
623540,Late For Work,2017/7/12,1,Salmi Games,Salmi Games,windows,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,0,31,1,0,0,0-20000,11.39
623550,Timen runner,2017/5/26,1,REX PEX GAMES,REX PEX GAMES,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual;Indie,Indie;Casual;Platformer,12,36,31,304,304,50000-100000,0.79
623570,PingBall VR,2017/4/12,1,Immersive Artz,Immersive Artz,windows,0,Single-player;Steam Leaderboards,Action;Casual;Indie;Simulation;Sports,Action;Simulation;Sports,0,10,5,0,0,0-20000,3.99
623580,POBEDA,2017/5/9,1,RCG;MyST,RCG,windows;mac,0,Single-player;Steam Trading Cards,Action;Casual;Indie,Indie;Casual;Action,0,36,31,276,293,50000-100000,0.79
